TYPE,ROUTE,SDD_SEQUENCE,OPERATION,OPERATION_DESC,ENTITY,MOR,SAMPLE_RATE,CT,SHIFT_START_WIP,GOAL_TYPE,TOTAL_GOAL,SUBCELL_INFO,PASS_WIP
UNIT,ARLH682,20,1204,DIETCB,,15.3,105.0,2.0,11.965,LoadingPlan,4.533,,0.0
UNIT,ARLH682,30,5651,JEDEC-TPP1,,77.76,100.0,1.02,0.0,IncomingWIP,3.778,,0.0
UNIT,ARLH682,40,2004,JDFLX,,84.97,100.0,1.0,0.0,IncomingWIP,3.457,,0.0
UNIT,ARLH682,50,1225,EYUF,,17.61,100.0,4.13,26.905,IncomingWIP,10.0,,0.0
UNIT,ARLH682,60,1987,HPO-HTS1,,,,0.45,8.95,IncomingWIP,15.508,,0.0
UNIT,ARLH682,70,2135,HPO-CURE,,15.13,100.0,1.59,1.791,IncomingWIP,10.0,,0.0
UNIT,ARLH682,80,730,HPO-HTS2,,,,0.14,0.0,IncomingWIP,8.675,,0.0
UNIT,ARLH682,90,1429,HTS-ST,,,,0.11,0.0,IncomingWIP,8.574,,0.0
UNIT,ARLH682,100,970,FLI-BLUE-M,,18.32,100.0,3.62,1.504,IncomingWIP,9.999,,0.0
UNIT,ARLH682,110,1430,HTS-US,,,,0.22,0.0,IncomingWIP,6.983,,0.0
UNIT,ARLH682,120,1237,CSAM,,,,5.44,0.0,IncomingWIP,6.855,,0.0
UNIT,ARLH682,130,1253,PEM,,14.69,100.0,0.0,0.0,IncomingWIP,3.747,,0.0
UNIT,ARLH682,140,1299,PEM-CUSP,,18.8,100.0,0.0,0.0,IncomingWIP,3.747,,0.0
UNIT,ARLH682,150,5653,JEDEC-TPR1,,77.3,100.0,0.0,3.584,IncomingWIP,7.331,,0.0
UNIT,ARLH682,160,2171,TACS2,,78.68,30.0,2.0,0.0,IncomingWIP,2.199,,5.132
UNIT,ARLH682,170,2151,JLP2ERGO1,,,,0.0,0.0,IncomingWIP,6.964,,0.0
UNIT,ARLH682,180,2436,PEVI-BDFOV,,,,0.16,8.814,IncomingWIP,15.778,,0.0
UNIT,ARLH682,190,2150,ERGO2JLP1,,,,0.32,0.0,IncomingWIP,15.568,,0.0
UNIT,ARLH682,200,2133,NG-BAL-DH1,BAL707,18.99,100.0,3.81,0.0,IncomingWIP,15.153,,0.0
UNIT,ARLH682,210,2172,TACS3,,23.43,100.0,2.78,0.0,IncomingWIP,10.342,,0.0
UNIT,ARLR816L,20,1204,DIETCB,,11.4,105.0,2.0,11.805,LoadingPlan,4.727,,0.0
UNIT,ARLR816L,30,5651,JEDEC-TPP1,,67.37,100.0,2.0,0.0,IncomingWIP,3.939,,0.0
UNIT,ARLR816L,40,2004,JDFLX,,74.3,100.0,4.0,0.0,IncomingWIP,3.282,,0.0
UNIT,ARLR816L,50,1225,EYUF,,14.86,100.0,2.0,1.232,IncomingWIP,3.42,,0.0
UNIT,ARLR816L,60,1987,HPO-HTS1,,,,4.0,3.13,IncomingWIP,5.98,,0.0
UNIT,ARLR816L,70,2135,HPO-CURE,,13.15,100.0,1.0,3.136,IncomingWIP,7.0,,0.0
UNIT,ARLR816L,80,730,HPO-HTS2,,,,1.0,0.0,IncomingWIP,6.417,,0.0
UNIT,ARLR816L,90,1429,HTS-ST,,,,4.0,0.0,IncomingWIP,5.882,,0.0
UNIT,ARLR816L,100,970,FLI-BLUE-M,,16.08,100.0,2.0,4.704,IncomingWIP,7.0,,0.0
